393.28	0	0
33.45	-21.5	0
8.93	0	0
96.99	0	0.005
120.89	111	0.005
13.03	111	0.0525
144.88	0	0.0525
89.29	83	0.0525
170.04	0	0.0525
41.59	0	0.0146
69.5	-88	0.0146
80.89	0	0.0146
70.79	-36	0.0146
113.98	0	0.0146
24.93	66	0.0146
206.3	320.23	0.0146
57.15	33	0.0146
11.77	0	0.0146
224.47	0	-0.009
63	0	-0.07249
57.76	41	-0.07249
31.45	0	-0.07249
51.14	-22	-0.07249
142.06	-187.66	-0.07249
21.52	-187.66	0.028
175.33	-111	0.028
118.23	0	0.028
395.89	-600	0.028
23.76	-18	-0.02925
42.24	0	-0.02925
70.94	0	0.02773
100.05	88	0.02773
59.12	0	0.02773
105.21	0	-0.07305
32.21	25	-0.07305
66.28	0	-0.07305
3.93	0	-0.02925
29.1	-18	-0.02925
260.3	0	-0.02925
519.86	0	-0.03067
187.37	0	0
68.93	-115	0
166.87	-115	0.0454
34.74	0	0.0454
41.17	-55	0.0454
83.01	0	0.0454
153.33	0	0
