393.28,0.00,0.00
33.45,-21.50,0.00
8.93,0.00,0.00
96.99,0.00,0.01
120.89,111.00,0.01
13.03,111.00,0.05
144.88,0.00,0.05
89.29,83.00,0.05
170.04,0.00,0.05
41.59,0.00,0.01
69.50,-88.00,0.01
80.89,0.00,0.01
70.79,-36.00,0.01
113.98,0.00,0.01
24.93,66.00,0.01
206.30,320.23,0.01
57.15,33.00,0.01
11.77,0.00,0.01
224.47,0.00,-0.01
63.00,0.00,-0.07
57.76,41.00,-0.07
31.45,0.00,-0.07
51.14,-22.00,-0.07
142.06,-187.66,-0.07
21.52,-187.66,0.03
175.33,-111.00,0.03
118.23,0.00,0.03
395.89,-60.00,0.03
23.76,-18.00,-0.03
42.24,0.00,-0.03
70.94,0.00,0.03
100.05,88.00,0.03
59.12,0.00,0.03
105.21,0.00,-0.07
32.21,25.00,-0.07
66.28,0.00,-0.07
3.93,0.00,-0.03
29.10,-18.00,-0.03
260.30,0.00,-0.03
519.86,0.00,-0.03
187.37,0.00,0.00
68.93,-115.00,0.00
166.87,-115.00,0.05
34.74,0.00,0.05
41.17,-55.00,0.05
83.01,0.00,0.05
153.33,0.00,0.00
